scenario,description,seed,delivered_packages,pending_packages,average_delivery_time,average_waiting_time,total_cost,total_income,gross_profit,moto_distance,furgoneta_distance,moto_trips,furgoneta_trips
A1,Alta demanda con flota de motos,,181,28,1.3414481081828156,0.7832336042299493,2897659.5640263115,8380000.0,5482340.435973689,3946.6683037876155,0.0,181,0
A1,Alta demanda con flota de motos,,176,42,1.683416078991918,1.1003116488480627,2930142.3197689336,8130000.0,5199857.680231066,4014.804892092569,0.0,176,0
A1,Alta demanda con flota de motos,,191,14,1.2528166944608186,0.7353421687501526,2890436.279555883,8780000.0,5889563.720444117,3931.516573310344,0.0,191,0
A1,Alta demanda con flota de motos,,175,36,1.6321447225696866,1.0691722569593283,2907505.1445595413,8250000.0,5342494.855440458,3967.3206238287894,0.0,175,0
A1,Alta demanda con flota de motos,,187,15,1.092029678422491,0.5545898710109264,2886685.2908199555,8810000.0,5923314.709180044,3923.648411592125,0.0,187,0
A1,Alta demanda con flota de motos,,169,39,1.2945841931461306,0.697130509746679,2865943.229927043,7920000.0,5054056.7700729575,3880.139379450427,0.0,169,0
A1,Alta demanda con flota de motos,,190,14,0.9622068899661028,0.42584524435933774,2955817.8994748765,8450000.0,5494182.100525124,4068.66258870479,0.0,190,0
A1,Alta demanda con flota de motos,,189,13,1.006656201728879,0.48158984023739065,2925173.0903850487,8770000.0,5844826.909614951,4004.381320293259,0.0,189,0
A1,Alta demanda con flota de motos,,183,23,0.9951507182425553,0.4578420155215888,2899425.090491595,8540000.0,5640574.909508405,3950.3717134016147,0.0,183,0
A1,Alta demanda con flota de motos,,182,52,1.4913003329607246,0.9482888234219234,2895202.062640822,8160000.0,5264797.937359178,3941.513391393825,0.0,182,0
A1,Alta demanda con flota de motos,,186,21,1.228404402665075,0.6839838553341999,2972317.5110735125,8930000.0,5957682.488926487,4103.272559964486,0.0,186,0
A1,Alta demanda con flota de motos,,179,4,0.7961703321349926,0.23710863507710003,2926512.9690481587,8220000.0,5293487.030951841,4007.191881120371,0.0,179,0
A1,Alta demanda con flota de motos,,185,18,1.0094259367849339,0.4658104171340662,2898913.8164352137,8400000.0,5501086.183564786,3949.2992529808716,0.0,185,0
A1,Alta demanda con flota de motos,,177,14,1.272608238320229,0.7142425583510686,2822095.995839883,8010000.0,5187904.004160117,3788.1643955241702,0.0,177,0
A1,Alta demanda con flota de motos,,189,7,0.9728682695963802,0.44548071619101814,2870069.9914372815,8620000.0,5749930.0085627185,3888.79577093037,0.0,189,0
A1,Alta demanda con flota de motos,,186,41,1.6659039379871892,1.1251287144270745,2920334.977579396,8280000.0,5359665.022420604,3994.2327816956176,0.0,186,0
A1,Alta demanda con flota de motos,,174,30,2.1053090219523907,1.5135969592479264,2929002.508899717,7620000.0,4690997.491100283,4012.413998150052,0.0,174,0
A1,Alta demanda con flota de motos,,174,35,1.428485180813459,0.8620893083935679,2819078.459659299,7770000.0,4950921.540340701,3781.834741043473,0.0,174,0
A1,Alta demanda con flota de motos,,174,3,0.71557284322993,0.16886819926532856,2763835.3040371686,8320000.0,5556164.695962831,3665.955405524149,0.0,174,0
A1,Alta demanda con flota de motos,,179,49,1.6208656107518793,1.061769359754847,2866035.9471336603,7920000.0,5053964.05286634,3880.3338652319235,0.0,179,0
A1,Alta demanda con flota de motos,,176,21,0.9576807602228324,0.3882329217231368,2869690.0074725095,7980000.0,5110309.9925274905,3887.9987076770203,0.0,176,0
A1,Alta demanda con flota de motos,,181,29,1.087450707764116,0.5531144225927144,2808915.3250227785,8280000.0,5471084.6749772215,3760.5163120867865,0.0,181,0
A1,Alta demanda con flota de motos,,193,37,1.4202990770060944,0.9243362305545082,2872606.4055903605,8690000.0,5817393.594409639,3894.1162125914398,0.0,193,0
A1,Alta demanda con flota de motos,,172,45,1.621122418959956,1.0452572034450072,2839117.3501837803,8460000.0,5620882.64981622,3823.8687865713064,0.0,172,0
A1,Alta demanda con flota de motos,,189,28,1.4153833339025874,0.9044231015116606,2891075.2019188236,8570000.0,5678924.798081176,3932.8567918049634,0.0,189,0
A1,Alta demanda con flota de motos,,180,23,0.9708817231255822,0.4449183246357805,2803998.636369068,8100000.0,5296001.363630932,3750.202950952163,0.0,180,0
A1,Alta demanda con flota de motos,,180,30,1.222013350128397,0.6872306881709094,2783243.5661822585,8100000.0,5316756.433817741,3706.6666302112594,0.0,180,0
A1,Alta demanda con flota de motos,,183,11,1.1380038146937512,0.6062383129628768,2858866.2321259994,7740000.0,4881133.767874001,3865.2945033128944,0.0,183,0
A1,Alta demanda con flota de motos,,177,50,1.7417161458216754,1.1856535239154387,2885759.8302153894,7660000.0,4774240.169784611,3921.707143778966,0.0,177,0
A1,Alta demanda con flota de motos,,173,33,1.1861566906397487,0.6354884267970073,2796859.270002301,7490000.0,4693140.729997699,3735.2272490522014,0.0,173,0
A1,Alta demanda con flota de motos,,179,5,0.9935411640150835,0.44947823883702615,2882297.2349245655,8220000.0,5337702.765075434,3914.4439228974893,0.0,179,0
A1,Alta demanda con flota de motos,,172,59,1.3495460931081527,0.7817577262643708,2850716.554449649,7610000.0,4759283.4455503505,3848.199548776049,0.0,172,0
A1,Alta demanda con flota de motos,,183,22,1.230742602272934,0.7027714725964167,2841083.228893769,7990000.0,5148916.771106231,3827.992459740579,0.0,183,0
A1,Alta demanda con flota de motos,,183,25,1.2972842980105674,0.7407176507930331,2896983.0969743654,7740000.0,4843016.903025635,3945.2493306750553,0.0,183,0
A1,Alta demanda con flota de motos,,190,8,1.1087268764248186,0.5930581138282677,2918461.371523758,8700000.0,5781538.628476242,3990.302661804614,0.0,190,0
A1,Alta demanda con flota de motos,,181,19,1.4479207539960368,0.8965228015008454,2913418.400589271,8380000.0,5466581.5994107295,3979.7244080037494,0.0,181,0
A1,Alta demanda con flota de motos,,176,59,1.8578177639552913,1.2822437499598003,2878627.729418505,7730000.0,4851372.270581495,3906.7466823083514,0.0,176,0
A1,Alta demanda con flota de motos,,177,38,1.2632581066558222,0.7118192591470857,2843552.268600355,8310000.0,5466447.731399645,3833.1715751866077,0.0,177,0
A1,Alta demanda con flota de motos,,179,25,1.0127521378188957,0.4522838963203609,2908176.020020342,7920000.0,5011823.9799796585,3968.7278678889484,0.0,179,0
A1,Alta demanda con flota de motos,,187,15,1.3238888533652209,0.7881412360023636,2903692.616719386,8360000.0,5456307.383280614,3959.323376245971,0.0,187,0
A1,Alta demanda con flota de motos,,170,50,2.0533675760036343,1.4666483430698285,2831098.920328168,8200000.0,5368901.079671832,3807.04914053348,0.0,170,0
A1,Alta demanda con flota de motos,,163,53,1.7185218981959771,1.0888346331040821,2849671.222218469,7390000.0,4540328.777781531,3846.006835434784,0.0,163,0
A1,Alta demanda con flota de motos,,181,28,1.1801290834636637,0.630833194635773,2836244.463560705,7730000.0,4893755.536439295,3817.8425523861724,0.0,181,0
A1,Alta demanda con flota de motos,,178,8,0.7274623634879858,0.19373787142812707,2811989.568177259,7740000.0,4928010.431822741,3766.9649164424645,0.0,178,0
A1,Alta demanda con flota de motos,,178,10,1.116980429876638,0.5878415610504892,2800181.188394275,8290000.0,5489818.811605725,3742.195382779833,0.0,178,0
A1,Alta demanda con flota de motos,,182,12,1.2841750594716403,0.7197324933571401,2927592.4622370857,8010000.0,5082407.537762914,4009.456251285721,0.0,182,0
A1,Alta demanda con flota de motos,,174,30,1.6394950185333717,1.0614004237381378,2866409.0314740646,7920000.0,5053590.968525935,3881.1164556718077,0.0,174,0
A1,Alta demanda con flota de motos,,171,30,1.5092906025388768,0.9075900328204822,2910015.2197239883,7630000.0,4719984.780276012,3972.585816211154,0.0,171,0
A1,Alta demanda con flota de motos,,184,38,1.4940948561171468,0.9406532014312191,2911379.668542668,8670000.0,5758620.331457332,3975.4479159713533,0.0,184,0
A1,Alta demanda con flota de motos,,187,53,1.8544463889381582,1.3103034475579751,2917018.115341395,8260000.0,5342981.884658605,3987.275253874839,0.0,187,0
A1,Alta demanda con flota de motos,,175,14,0.8524916497541594,0.3003136201463923,2824112.853274384,7950000.0,5125887.1467256155,3792.3950028585145,0.0,175,0
A1,Alta demanda con flota de motos,,179,26,1.608944125555329,1.0454732664181772,2932831.4872985883,7620000.0,4687168.512701412,4020.4457528096486,0.0,179,0
A1,Alta demanda con flota de motos,,179,29,1.1587162803291629,0.6207225265932598,2809429.115297987,8320000.0,5510570.884702013,3761.594050587001,0.0,179,0
A1,Alta demanda con flota de motos,,192,31,1.4866236778037658,0.9707794325660407,2894061.2308256137,8760000.0,5865938.769174386,3939.120355891111,0.0,192,0
A1,Alta demanda con flota de motos,,178,4,0.9661093855042369,0.41135731765984745,2937606.830939015,8290000.0,5352393.169060985,4030.462625337969,0.0,178,0
A1,Alta demanda con flota de motos,,175,20,1.1781082974378003,0.6375004597331911,2739836.036338267,8350000.0,5610163.963661733,3615.6139801913487,0.0,175,0
A1,Alta demanda con flota de motos,,188,3,0.9475124568853627,0.4084078084874732,2932026.1382432217,8640000.0,5707973.861756778,4018.7564337918197,0.0,188,0
A1,Alta demanda con flota de motos,,184,39,1.7901881286015258,1.2501930626964117,2926473.0076208087,8370000.0,5443526.992379191,4007.108057095557,0.0,184,0
